Zagreb,Slavonski Brod,156,455,0.596515,-0.482756,0.884487
Zagreb,Maribor,156,535,0.662999,-0.494079,0.990573
Karlovac,Rijeka,157,158,0.243946,-0.487761,0.362934
Karlovac,Knin,157,554,0.19591,-0.487842,0.291483
Rijeka,Split,158,159,0.163372,-0.48584,0.242744
Rijeka,Trieste,158,452,0.418011,-0.487492,0.621788
Split,Dubrovnik,159,160,0.114312,-0.479968,0.169178
Split,Knin,159,554,0.115335,-0.485179,0.171294
Dubrovnik,Petrovac,160,161,0.0363023,-0.473993,0.0535093
Dubrovnik,Podgorica,160,162,0.0782131,-0.467646,0.114789
Petrovac,Podgorica,161,162,0.0503447,-0.462002,0.0736041
Petrovac,Prizren,161,744,0.046216,-0.462344,0.0675837
Podgorica,Bijelo Polje,162,163,0.0774906,-0.462636,0.113341
Podgorica,Pristina,162,164,0.10658,-0.461367,0.155753
Podgorica,Sarajevo,162,737,0.133561,-0.463156,0.195421
Bijelo Polje,Pristina,163,164,0.107258,-0.461232,0.156729
Bijelo Polje,Nova Varoš,163,740,0.118211,-0.463967,0.173057
Pristina,Skopje,164,165,0.141906,-0.458097,0.206913
Pristina,Niš,164,202,0.286578,-0.463317,0.419354
Pristina,Prizren,164,744,0.087986,-0.460668,0.128518
Skopje,Kičevo,165,166,0.095122,-0.454445,0.13835
Skopje,Kumanovo,165,203,0.139067,-0.457826,0.202735
Skopje,Veles,165,204,0.0996256,-0.452716,0.144728
Kičevo,Ohrid,166,167,0.0388391,-0.451935,0.0563918
Ohrid,Bitola,167,168,0.0176617,-0.445778,0.0255348
Bitola,Niki,168,169,0.0122305,-0.431461,0.0175076
Niki,Vevi,169,170,0.0173535,-0.419562,0.0246343
Vevi,Kozani,170,171,0.037038,-0.417146,0.0524883
Kozani,Larissa,171,172,0.0250333,-0.416835,0.035468
Kozani,Thessaloniki,171,207,0.0827387,-0.41909,0.117414
Kozani,Ioannina,171,477,0.0304363,-0.416498,0.043113
Larissa,Domokos,172,173,0.0110629,-0.415874,0.0156636
Larissa,Lamia,172,174,0.0110629,-0.415874,0.0156636
Larissa,Katerini,172,208,0.0319838,-0.417692,0.0453432
Larissa,Trikala,172,687,0.0157036,-0.415288,0.0222251
Domokos,Lamia,173,174,6.60106e-05,-0.484759,3.30053e-05
Aigio,Corinth,175,176,0.000455993,-0.403431,0.000639954
Corinth,Tripoli,176,177,0.000218726,-0.400063,0.00030623
Varangerbotn,Utsjoki,178,179,0.0633331,-0.49823,0.0948875
Varangerbotn,Kirkenes,178,243,0.1762,-0.520075,0.267838
Varangerbotn,Karasjok,178,502,0.0632814,-0.498329,0.0948163
Utsjoki,Inari,179,180,0.0247372,-0.494717,0.0369751
Inari,Ivalo,180,181,0.0106171,-0.48412,0.0157571
Ivalo,Sodankylä,181,182,0.00677696,-0.454158,0.00985477
Sodankylä,Rovaniemi,182,183,0.00610416,-0.411441,0.00861566
Sodankylä,Kemijärvi,182,539,0.004146,-0.425452,0.00590993
Rovaniemi,Kemi,183,184,0.00791462,-0.393707,0.0110307
Kemi,Oulu,184,185,0.0121348,-0.403483,0.017031
Kemi,Tornio,184,614,0.00784367,-0.382231,0.0108418
Oulu,Jyväskylä,185,186,0.0132776,-0.430343,0.0189916
Oulu,Kokkola,185,615,0.00992214,-0.42626,0.0141516
Jyväskylä,Heinola,186,187,0.0202787,-0.464823,0.0297048
Jyväskylä,Kuopio,186,544,0.0134216,-0.441141,0.0193424
Jyväskylä,Tampere,186,545,0.0193464,-0.457326,0.028194
Heinola,Lahti,187,188,0.0262474,-0.495597,0.0392555
Lahti,Helsinki,188,189,0.0582323,-0.510794,0.087977
Helsinki,Hämeenlinna,189,618,0.0587097,-0.510587,0.0886862
Helsinki,Kotka,189,621,0.173026,-0.522591,0.263448
